Scaffold	start	stop	strand	Protein ID	Blast
Scaffold_1	5803	9303	-	ANN00001-RA	Protein of unknown function
Scaffold_1	14247	16380	+	ANN00002-RA	Similar to Thap1: THAP domain-containing protein 1 (Rattus norvegicus OX%3D10116)
Scaffold_1	16387	17740	+	ANN00003-RA	Protein of unknown function
Scaffold_1	18793	26945	+	ANN00004-RA	Similar to THAP9: DNA transposase THAP9 (Homo sapiens OX%3D9606)
Scaffold_1	28211	29776	+	ANN00005-RA	Similar to FAM200A: Protein FAM200A (Macaca fascicularis OX%3D9541)
Scaffold_1	32330	33049	-	ANN00006-RA	Similar to ZMYM1: Zinc finger MYM-type protein 1 (Homo sapiens OX%3D9606)
Scaffold_1	36039	38089	-	ANN00007-RA	Similar to ZMYM1: Zinc finger MYM-type protein 1 (Homo sapiens OX%3D9606)
Scaffold_1	42465	43439	+	ANN00008-RA	Protein of unknown function
Scaffold_1	44522	46657	-	ANN00009-RA	Protein of unknown function
Scaffold_1	54097	54893	+	ANN00010-RA	Protein of unknown function
Scaffold_1	74008	78001	+	ANN00011-RA	Protein of unknown function
Scaffold_1	84580	89359	+	ANN00012-RA	Similar to Transposon TX1 uncharacterized 82 kDa protein (Xenopus laevis OX%3D8355)
Scaffold_1	90241	94282	+	ANN00013-RA	Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)
Scaffold_1	94761	95293	-	ANN00014-RA	Similar to ZBED8: Protein ZBED8 (Homo sapiens OX%3D9606)
Scaffold_1	95343	95819	-	ANN00015-RA	Protein of unknown function
Scaffold_1	96761	99383	+	ANN00016-RA	Protein of unknown function
Scaffold_1	100116	102467	+	ANN00017-RA	Protein of unknown function
Scaffold_1	112215	112430	+	ANN00018-RA	Protein of unknown function
Scaffold_1	115770	116750	+	ANN00019-RA	Similar to Transposable element Tcb2 transposase (Caenorhabditis briggsae OX%3D6238)
Scaffold_1	128310	129858	-	ANN00020-RA	Protein of unknown function
Scaffold_1	130027	132976	-	ANN00021-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_1	133675	141233	-	ANN00022-RA	Protein of unknown function
Scaffold_1	141705	141995	-	ANN00023-RA	Protein of unknown function
Scaffold_1	146776	147380	-	ANN00024-RA	Similar to K02A2.6: Uncharacterized protein K02A2.6 (Caenorhabditis elegans OX%3D6239)
Scaffold_1	149654	150863	+	ANN00025-RA	Similar to Cyt-b5: Cytochrome b5 (Drosophila melanogaster OX%3D7227)
Scaffold_1	151327	154487	-	ANN00026-RA	Protein of unknown function
Scaffold_1	154539	160436	-	ANN00027-RA	Protein of unknown function
Scaffold_1	155317	159804	+	ANN00028-RA	Protein of unknown function
Scaffold_1	160463	160804	-	ANN00029-RA	Protein of unknown function
Scaffold_1	174101	177802	-	ANN00030-RA	Protein of unknown function
Scaffold_1	179942	180415	-	ANN00031-RA	Similar to PGBD2: PiggyBac transposable element-derived protein 2 (Homo sapiens OX%3D9606)
Scaffold_1	180458	181777	-	ANN00032-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	182892	184523	-	ANN00033-RA	Similar to pif1: ATP-dependent DNA helicase pif1 (Psychrobacter sp. (strain PRwf-1) OX%3D349106)
Scaffold_1	184614	185087	-	ANN00034-RA	Protein of unknown function
Scaffold_1	186260	186908	-	ANN00035-RA	Similar to mariner\T: Mariner Mos1 transposase (Drosophila mauritiana OX%3D7226)
Scaffold_1	188236	191069	+	ANN00036-RA	Protein of unknown function
Scaffold_1	193451	194188	-	ANN00037-RA	Protein of unknown function
Scaffold_1	199805	202017	-	ANN00038-RA	Protein of unknown function
Scaffold_1	205215	206756	-	ANN00039-RA	Similar to THAP9: DNA transposase THAP9 (Homo sapiens OX%3D9606)
Scaffold_1	207848	208096	-	ANN00040-RA	Protein of unknown function
Scaffold_1	226627	228748	-	ANN00041-RA	Similar to Jrkl: Jerky protein homolog-like (Mus musculus OX%3D10090)
Scaffold_1	232137	232799	+	ANN00042-RA	Protein of unknown function
Scaffold_1	240300	245331	-	ANN00043-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon 17.6 (Drosophila melanogaster OX%3D7227)
Scaffold_1	246254	253287	-	ANN00044-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	254171	254545	-	ANN00045-RA	Protein of unknown function
Scaffold_1	254576	255073	-	ANN00046-RA	Protein of unknown function
Scaffold_1	258184	260589	+	ANN00047-RA	Similar to TIGD6: Tigger transposable element-derived protein 6 (Homo sapiens OX%3D9606)
Scaffold_1	277692	279989	+	ANN00048-RA	Protein of unknown function
Scaffold_1	295744	297521	+	ANN00049-RA	Similar to thap1: THAP domain-containing protein 1 (Salmo salar OX%3D8030)
Scaffold_1	300059	309681	+	ANN00050-RA	Similar to TIGD6: Tigger transposable element-derived protein 6 (Homo sapiens OX%3D9606)
Scaffold_1	311341	312672	+	ANN00051-RA	Protein of unknown function
Scaffold_1	313946	315917	+	ANN00052-RA	Protein of unknown function
Scaffold_1	323422	326921	-	ANN00053-RA	Similar to Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment) (Bradysia coprophila OX%3D38358)
Scaffold_1	329932	332583	+	ANN00054-RA	Protein of unknown function
Scaffold_1	334633	336009	+	ANN00055-RA	Protein of unknown function
Scaffold_1	342173	344239	+	ANN00056-RA	Protein of unknown function
Scaffold_1	344255	345085	+	ANN00057-RA	Protein of unknown function
Scaffold_1	347751	349702	+	ANN00058-RA	Protein of unknown function
Scaffold_1	357991	358578	-	ANN00059-RA	Protein of unknown function
Scaffold_1	365028	365497	+	ANN00060-RA	Similar to pol: Retrovirus-related Pol polyprotein from transposon opus (Drosophila melanogaster OX%3D7227)
Scaffold_1	367073	371470	-	ANN00061-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	375939	378374	-	ANN00062-RA	Protein of unknown function
Scaffold_1	384291	386472	+	ANN00063-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	387233	388012	+	ANN00064-RA	Protein of unknown function
Scaffold_1	393343	396370	+	ANN00065-RA	Protein of unknown function
Scaffold_1	421397	424014	+	ANN00066-RA	Protein of unknown function
Scaffold_1	424334	425109	+	ANN00067-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	427216	431806	+	ANN00068-RA	Protein of unknown function
Scaffold_1	441887	442483	+	ANN00069-RA	Protein of unknown function
Scaffold_1	443477	445100	-	ANN00070-RA	Similar to X-element\ORF2: Probable RNA-directed DNA polymerase from transposon X-element (Drosophila melanogaster OX%3D7227)
Scaffold_1	447676	448261	+	ANN00071-RA	Protein of unknown function
Scaffold_1	455850	456794	+	ANN00072-RA	Protein of unknown function
Scaffold_1	458673	460289	+	ANN00073-RA	Protein of unknown function
Scaffold_1	463405	464475	+	ANN00074-RA	Protein of unknown function
Scaffold_1	464862	465570	+	ANN00075-RA	Protein of unknown function
Scaffold_1	465685	466461	+	ANN00076-RA	Protein of unknown function
Scaffold_1	482038	492969	+	ANN00077-RA	Similar to RPRD2: Regulation of nuclear pre-mRNA domain-containing protein 2 (Homo sapiens OX%3D9606)
Scaffold_1	518066	523872	-	ANN00078-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	525151	527186	-	ANN00079-RA	Similar to JRKL: Jerky protein homolog-like (Homo sapiens OX%3D9606)
Scaffold_1	529862	532709	-	ANN00080-RA	Protein of unknown function
Scaffold_1	532866	534209	-	ANN00081-RA	Protein of unknown function
Scaffold_1	535679	537606	-	ANN00082-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	538399	540060	-	ANN00083-RA	Protein of unknown function
Scaffold_1	542757	543815	-	ANN00084-RA	Protein of unknown function
Scaffold_1	551870	552175	-	ANN00085-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	552418	552864	-	ANN00086-RA	Protein of unknown function
Scaffold_1	554451	557803	+	ANN00087-RA	Protein of unknown function
Scaffold_1	588072	589091	-	ANN00088-RA	Similar to Transposable element Tcb1 transposase (Caenorhabditis briggsae OX%3D6238)
Scaffold_1	594713	595032	-	ANN00089-RA	Protein of unknown function
Scaffold_1	595051	599965	-	ANN00090-RA	Protein of unknown function
Scaffold_1	604518	606449	-	ANN00091-RA	Similar to Mctp: Multiple C2 and transmembrane domain-containing protein (Drosophila melanogaster OX%3D7227)
Scaffold_1	608395	608634	+	ANN00092-RA	Protein of unknown function
Scaffold_1	625544	626910	-	ANN00093-RA	Similar to Zbed4: Zinc finger BED domain-containing protein 4 (Mus musculus OX%3D10090)
Scaffold_1	632723	634923	-	ANN00094-RA	Similar to PGBD3: PiggyBac transposable element-derived protein 3 (Homo sapiens OX%3D9606)
Scaffold_1	649609	650359	-	ANN00095-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	651351	653491	-	ANN00096-RA	Similar to Mctp: Multiple C2 and transmembrane domain-containing protein (Drosophila melanogaster OX%3D7227)
Scaffold_1	654953	658300	-	ANN00097-RA	Similar to tc3a: Transposable element Tc3 transposase (Caenorhabditis elegans OX%3D6239)
Scaffold_1	672184	674236	+	ANN00098-RA	Similar to pip1: RING-box protein pip1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_1	725930	728988	-	ANN00099-RA	Similar to ZBED8: Protein ZBED8 (Homo sapiens OX%3D9606)
Scaffold_1	730231	730689	-	ANN00100-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	730715	735992	-	ANN00101-RA	Similar to PGBD2: PiggyBac transposable element-derived protein 2 (Homo sapiens OX%3D9606)
Scaffold_1	736065	743136	-	ANN00102-RA	Similar to RTase: Probable RNA-directed DNA polymerase from transposon BS (Drosophila melanogaster OX%3D7227)
Scaffold_1	744493	748587	-	ANN00103-RA	Protein of unknown function
Scaffold_1	753131	755810	-	ANN00104-RA	Protein of unknown function
Scaffold_1	755812	758519	-	ANN00105-RA	Protein of unknown function
Scaffold_1	762909	768240	+	ANN00106-RA	Similar to pif1: ATP-dependent DNA helicase pif1 (Psychrobacter sp. (strain PRwf-1) OX%3D349106)
Scaffold_1	780781	781406	-	ANN00107-RA	Protein of unknown function
Scaffold_1	782644	783510	-	ANN00108-RA	Protein of unknown function
Scaffold_1	785299	785886	-	ANN00109-RA	Protein of unknown function
Scaffold_1	802020	803583	+	ANN00110-RA	Protein of unknown function
Scaffold_1	806186	806658	-	ANN00111-RA	Protein of unknown function
Scaffold_1	806781	808223	-	ANN00112-RA	Protein of unknown function
Scaffold_1	809031	809368	+	ANN00113-RA	Protein of unknown function
Scaffold_1	812622	813667	+	ANN00114-RA	Similar to ZBED4: Zinc finger BED domain-containing protein 4 (Homo sapiens OX%3D9606)
Scaffold_1	816772	817782	+	ANN00115-RA	Protein of unknown function
Scaffold_1	818969	821391	+	ANN00116-RA	Protein of unknown function
Scaffold_1	822671	823594	-	ANN00117-RA	Protein of unknown function
Scaffold_1	832867	837174	+	ANN00118-RA	Similar to Tf2-9: Transposon Tf2-9 polyprotein (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812)
Scaffold_1	849975	861563	+	ANN00119-RA	Similar to THAP9: DNA transposase THAP9 (Homo sapiens OX%3D9606)
Scaffold_1	864653	867255	+	ANN00120-RA	Similar to FAM200A: Protein FAM200A (Macaca fascicularis OX%3D9541)
Scaffold_1	868377	869967	-	ANN00121-RA	Similar to ZMYM1: Zinc finger MYM-type protein 1 (Homo sapiens OX%3D9606)
Scaffold_1	871970	875256	-	ANN00122-RA	Similar to Retrovirus-related Pol polyprotein from transposon TNT 1-94 (Nicotiana tabacum OX%3D4097)
Scaffold_1	875602	877440	+	ANN00123-RA	Protein of unknown function
Scaffold_1	879658	880796	-	ANN00124-RA	Protein of unknown function
Scaffold_1	885333	886507	-	ANN00125-RA	Similar to TIGD1: Tigger transposable element-derived protein 1 (Homo sapiens OX%3D9606)
Scaffold_1	892693	893912	+	ANN00126-RA	Protein of unknown function
Scaffold_1	896088	899146	+	ANN00127-RA	Protein of unknown function
Scaffold_1	899340	900152	+	ANN00128-RA	Protein of unknown function
Scaffold_1	900405	901396	+	ANN00129-RA	Similar to PGBD4: PiggyBac transposable element-derived protein 4 (Homo sapiens OX%3D9606)
